episode,reward,energy_saving_pct
1,-0.7899,5.53
2,-0.7993,5.32
3,-0.7007,4.83
4,-0.7214,5.71
5,-0.7856,5.82
6,-0.7161,6.4
7,-0.7675,6.22
8,-0.7303,6.27
9,-0.8448,8.28
10,-0.7707,4.49
11,-0.7292,5.27
12,-0.7454,7.8
13,-0.6621,5.38
14,-0.7036,7.88
15,-0.6857,7.43
16,-0.7004,5.94
17,-0.7052,8.37
18,-0.655,8.7
19,-0.6067,7.67
20,-0.7957,7.66
21,-0.7368,9.19
22,-0.6785,6.32
23,-0.6093,8.83
24,-0.6326,6.82
25,-0.708,8.97
26,-0.6821,8.38
27,-0.6203,8.59
28,-0.6834,10.39
29,-0.6348,7.3
30,-0.6785,9.7
31,-0.6156,9.03
32,-0.6039,9.31
33,-0.7659,10.19
34,-0.5371,10.25
35,-0.5274,10.18
36,-0.7203,8.79
37,-0.6259,10.39
38,-0.6919,10.65
39,-0.7128,10.5
40,-0.5617,10.73
41,-0.5076,10.31
42,-0.5954,9.15
43,-0.5122,10.02
44,-0.6195,10.06
45,-0.6551,10.66
46,-0.5982,10.33
47,-0.6142,12.64
48,-0.5498,11.39
49,-0.5132,10.98
50,-0.6216,11.42
51,-0.628,11.66
52,-0.5128,13.5
53,-0.5707,11.88
54,-0.5107,11.12
55,-0.5873,10.6
56,-0.5756,11.94
57,-0.4881,13.86
58,-0.4949,11.74
59,-0.463,11.06
60,-0.5398,13.08
61,-0.4613,12.29
62,-0.5005,10.63
63,-0.4993,12.56
64,-0.5591,13.58
65,-0.4802,10.43
66,-0.5228,13.33
67,-0.414,11.45
68,-0.5041,12.58
69,-0.51,12.4
70,-0.4341,14.07
71,-0.4908,14.04
72,-0.5346,11.77
73,-0.5657,11.21
74,-0.531,11.77
75,-0.5747,13.79
76,-0.4853,11.16
77,-0.4348,12.88
78,-0.5035,14.53
79,-0.3457,14.28
80,-0.5405,12.06
81,-0.4404,14.03
82,-0.4425,12.95
83,-0.4828,13.34
84,-0.4668,13.49
85,-0.3733,13.68
86,-0.4002,14.12
87,-0.4046,13.55
88,-0.4956,13.66
89,-0.4216,15.32
90,-0.4031,14.5
91,-0.3982,13.48
92,-0.509,14.74
93,-0.4197,13.22
94,-0.4178,14.89
95,-0.3761,15.4
96,-0.4429,15.72
97,-0.4851,15.4
98,-0.4726,13.96
99,-0.4048,14.55
100,-0.3626,16.32
101,-0.4368,14.93
102,-0.4017,15.22
103,-0.5166,16.05
104,-0.5186,16.94
105,-0.3862,15.42
106,-0.385,15.17
107,-0.3701,17.52
108,-0.5083,17.65
109,-0.329,15.78
110,-0.4277,15.82
111,-0.428,16.77
112,-0.3624,16.36
113,-0.3897,16.01
114,-0.3072,16.78
115,-0.354,15.45
116,-0.311,17.27
117,-0.4071,16.87
118,-0.323,16.72
119,-0.4936,16.22
120,-0.3849,15.76
121,-0.4461,14.67
122,-0.3706,14.72
123,-0.3662,14.87
124,-0.3258,17.82
125,-0.3591,15.99
126,-0.4067,15.49
127,-0.3913,16.66
128,-0.3565,15.85
129,-0.3973,16.46
